name,calories,protein,carbs,fat,fiber,sodium_mg,diet_type,country,season,budget,meal_type,micronutrients,glycemic_index_val,diabetes_friendly_flag,bp_friendly_flag
Anda Paratha,280,12,28,14,2,320,Vegetarian,Pakistan,All,Low,Breakfast,"Iron,B12,Calcium",High,0,1
Boiled Egg (2),155,13,1,11,0,140,Non-Veg,Global,All,Low,Breakfast,"B12,D,Choline",Low,0,1
Omelette (2 eggs),185,14,2,13,0,250,Non-Veg,Global,All,Low,Breakfast,"B12,D,Selenium",Low,0,1
Dahi (plain yogurt),100,8,11,3,0,70,Vegetarian,Pakistan,All,Low,Breakfast,"Calcium,Probiotics,B12",Low,0,1
Paratha (plain),200,4,28,9,2,200,Vegetarian,Pakistan,All,Low,Breakfast,"Iron,B1",High,0,1
Roti (1 whole wheat),100,4,20,1,3,130,Vegetarian,Pakistan,All,Low,"Breakfast,Lunch,Dinner","Iron,Fiber,B1",High,0,1
Lassi (sweet),180,7,28,5,0,90,Vegetarian,Pakistan,Summer,Low,Breakfast,"Calcium,Probiotics",Low,0,1
Namkeen Lassi,120,7,12,4,0,280,Vegetarian,Pakistan,Summer,Low,Breakfast,"Calcium,Probiotics",Low,0,1
Doodh Pati Chai,120,5,14,5,0,80,Vegetarian,Pakistan,All,Low,Breakfast,Calcium,Low,0,1
Green Tea,5,0,1,0,0,5,Vegan,Global,All,Low,Breakfast,Antioxidants,Low,0,1
Oatmeal (plain),158,6,27,3,4,115,Vegan,Global,Winter,Low,Breakfast,"Iron,Fiber,B1,Manganese",Low,1,1
Banana,105,1,27,0,3,1,Vegan,Global,All,Low,"Breakfast,Snack","K,B6,Mg",Low,1,1
Apple,95,0,25,0,4,2,Vegan,Global,All,Low,"Breakfast,Snack","C,Fiber,Antioxidants",Low,1,1
Fruit Chaat,120,2,28,1,4,60,Vegan,Pakistan,Summer,Low,"Breakfast,Snack","C,Fiber,K",High,0,1
Egg Bhurji,200,14,4,13,1,360,Non-Veg,Pakistan,All,Low,Breakfast,"B12,D,Choline,Selenium",Low,0,1
Besan Cheela,180,10,22,6,4,200,Vegan,Pakistan,All,Low,Breakfast,"Folate,Iron,Protein",Low,1,1
Upma,210,7,35,6,3,280,Vegan,Pakistan,All,Low,Breakfast,"B1,Iron,Mg",High,0,1
Poha (flattened rice),250,5,46,5,2,220,Vegan,Pakistan,All,Low,Breakfast,"Iron,B1",High,0,1
Avocado Toast,220,6,24,12,6,300,Vegan,Global,All,Medium,Breakfast,"K,Folate,E,Fiber",Low,1,1
Greek Yogurt (low fat),130,17,9,2,0,65,Vegetarian,Global,All,Medium,"Breakfast,Snack","Calcium,Probiotics,B12",Low,0,1
